symbol,context,meaning,context_len,n_interps
Mafia,To dream that you come in contact with the mafia, indicates that you are experiencing some inner conflict and turmoil.,48,2
Magazine,To read a magazine in your dream, indicates that you are opened to various new ideas. Consider also the theme and name of the magazine and additional symbolism.,32,2
Magazine,Dreaming about a gun magazine," represents your stamina and/or fight power. If the magazine malfunctions, then it indicates exhaustion or powerlessness.",29,2
Maggot,To see maggots in your dream," represent your anxieties about death. It may also be indicative of some issue or problem that you have been rejecting and it is now ""eating away"" at you. You need to confront it for it is destroying your sense of harmony and balance.",28,3
Maggot,"In particular, to dream that you are stepping on maggots"," indicate guilt and impurity. You are trying to repress your immoral thoughts or behavior. On a positive note, this dream symbolizes your resilience, persistence and your ability to bounce back from adversity.",56,3
Maggot,To see black maggots in your dream," mean that you are in denial about a problem. You are refusing to see the truth. If the maggots are coming out of your mouth, then it implies that you are not owning up to something you have said.",34,3
Magic,To perform or dream of magic," suggests that you need to look at things from a different view or approach your problems from a new angle in order to successfully move forward. Alternatively, magic symbolizes creativity and wonder. Perhaps someone or something has caused you to be in awe. The dream may also be a metaphor that you or someone is ""up to some trick"".",28,2
Magic,To dream of black magic," implies that you have obtained your wishes and wants through underhanded tricks. It also symbolizes deception, evil and treachery.",23,2
Magic Carpet,To dream that you are riding a magic carpet, indicates that you are overcoming your obstacles and physical limitations.,43,1
Magic Mirror,To dream of a magic mirror," suggests that you are putting too much emphasis on outward appearances. Alternatively, the dream may also mean that you are looking for reassurance or reaffirmation from others.",26,1
Magician,To see or dream that you are a magician," signifies that an issue or a task at hand may be trickier than you had anticipated. You are feeling disillusioned. Alternatively, the dream means that you are trying to fool yourself or someone into believing something that you know is not true.",39,1
Magistrate,To see a magistrate in your dream," represents an authoritarian figure in your life. You feel the need to be controlled and told what to do. How you are behaving or what you are doing is not in accordance with your belief system. You are experiencing some issues with guilt. Alternatively, the dream means that there is a disconnect between your action and your belief system.",33,1
Magnet,To see a magnet in your dream," symbolizes negative forces that are drawing you towards a path of dishonor and ruin. Alternatively, the dream signifies personal empowerment. Some force is bonding or uniting your relationships together. The dream may also be a metaphor for your magnetic personality.",29,1
Magnifying Glass,To see or use a magnifying glass in your dream, indicates that something in your life needs to be examined and looked at more closely.,46,1
Magnolia,To see magnolias in your dream," symbolize beauty, grace and elegance.",30,1
Magnolia Tree,To see a magnolia tree in your dream," indicates your need for attention and to be noticed. Perhaps you are overly confident in your abilities. Alternatively, the magnolia tree represents your need to feel protected and safe from life's problems.",36,1
Magpie,To see a magpie in your dream," signifies dissatisfaction and disagreements. You need to be careful with what you say and do. Alternatively, the dream could mean that you are feeling short-changed in your relationship. You feel insecure or threatened. Consider the number of magpies in the dream and the old proverb ""one for sorrow, two for mirth, three for a wedding and four for a birth.""",29,2
Magpie,To see a dead magpie in your dream, signifies some malicious rumors.,34,2
Mahjong,To see or play mahjong in your dream," refers to a situation in your waking life that requires strategy, patience and composure. Consider the significance of the mahjong tile and look up the corresponding meaning, whether it be one of the wind directions or a number.",36,1
Mahogany,To dream of mahogany wood, refers to your stubbornness.,25,1
Maid,To see or have a maid in your dream, suggests that you are depending too much on others for their help. You need to be more independent and look after your own self.,35,2
Maid,To dream that you are a maid," indicates that you need to clear up the clutter in your life. Metaphorically, the dream suggests that you need to nurture yourself and cleanse your emotions.",28,2
Mail,To dream that receive mail," indicates that you need to communicate or re-establish contact with someone from your present or past. It may also represent messages from your subconscious or intuition. The mail may also be a pun on a ""male"" in your life.",26,3
Mail,To dream that mail is lost, suggests that you are feeling isolated of left out in some waking situation.,26,3
Mail,"If you receive mail from someone you don't know, ",then it symbolizes a message from your subconscious.,49,3
Mailbox,To see a mailbox in your dream," represents important information that you are about to receive. Pay particular attention to your dream and what message it is trying to convey to you from your subconscious. If the mailbox is full, then it indicates that you have not digested or accepted these messages.",30,1
Mailman,To see a mailman in your dream," symbolizes your communications with others. You need to get the word out about something. If the mailman does not have any mail for you, then it signifies disappointments in some aspect of your life.",30,2
Mailman,"If you are not a mailman in real life, but dream that you are one, ","then it suggests that a message is being channeled to you from your subconscious. Pay close attention to the message of this dream. Alternatively, it may mean that you have been entrusted with a special message or secret.",67,2
Maintenance,To dream that something is in need of maintenance or that it is under maintenance," indicates that you need to take better care of some aspect of yourself or some aspect of your relationship. In particular, if you dream about car maintenance, then it suggest that you need to stop or you will burn yourself out.",81,2
Majorette,To see majorettes in your dream, signifies unity and cooperation. It also symbolizes the rhythm of life.,31,2
Majorette,Dreaming that you are a majorette, indicates that you have a handle on a situation or control on an issue.,33,2
Makeup,To dream that you are applying makeup," suggests that you are trying to cover up or conceal an aspect of yourself. Alternatively, it indicates that you are putting on your best face forward. You are trying to enhance your self-image and increase your sense of self-confidence. The dream may also be a metaphor that you need to ""make up"" with someone. It is time to forgive and forget.",37,2
Makeup,To dream that you are wearing too much makeup, indicates that you are putting too much emphasis on beauty and outside appearances rather than what is inside.,45,2
Making Out,To dream that you are making out with someone," suggests that you have an subconscious desire to pursue a relationship, but fear that it will jeopardize the friendship. If you don't like this person in this way, then the dream suggests that you need to acknowledge and incorporate aspects of this person into your own character. Consider specific traits that this person possess.",45,1
Malachite,To see or wear malachite in your dream," symbolizes tranquility, serenity, and relaxation.",38,1
Male,#Ref:man,#Ref:man,8,1
Malice,To dream that you have malice toward others," reflects your waking feelings about a person, situation, or relationship. You are repressing some of these negative feelings.",43,1
Mall,To dream that you are at the mall," symbolizes the choices, decisions and options you have in your waking life. These choices will help shape who you are as a person. You are trying to establish your identity and sense of self. Alternatively, the dream suggests that you are trying to make a favorable impression on someone. The mall is also symbolic of materialism and the need to keep up with the trends, fads, and/or the latest technology. Consider the type and name of stores that you see in your dreams.",33,1
Mallet,To see a mallet in your dream, symbolizes force or willpower. You may need to exert some force and power to get your way and make things happen.,29,1
Malpractice,To dream that you are sued for malpractice, signifies a need to change your ways and attitude.,42,1
Malt,To see malted drinks in your dream, represent richness.,34,1
Mammogram,To dream that you are getting a mammogram, suggests that you are doubting the power of your femininity. A more direct interpretation of this dream may be that you are nervous about an upcoming mammogram.,41,1
Mammoth,To see a mammoth in your dream," implies that you need to let go of some past emotions. You are letting your cold hard feelings control your behavior. Perhaps you are being too frigid. Alternatively, a mammoth symbolizes power, size and/or strength.",30,1
Man,To see a man in your dream," denotes the aspect of yourself that is assertive, rational, aggressive, and/or competitive. Perhaps you need to incorporate these aspects into your own character. If the man is known to you, then the dream may reflect you feelings and concerns you have about him.",26,3
Man,"If you are a woman and dream that you are in the arms of a man, ",then it suggests that you are accepting and welcoming your stronger assertive personality. It may also highlight your desires to be in a relationship and your image of the ideal man.,64,3
Man,To see an old man in your dream, represents wisdom or forgiveness. The old man may be a archetypal figure who is offering guidance to some daily problem.,31,3
Man Of War,To see a man of war ship in your dream, suggests that you need shield yourself from some emotional turmoil.,38,2
Man Of War,To see a man of war creature in your dream, symbolizes a stinging remark or situation. The dream may be brought about by some painful memory from your subconscious.,42,2
Manager,To dream that you are a manager, indicates that you need to be more organized and efficient. Also consider any real life manager and what qualities you like or dislike about her or him.,31,1
Manatee,To see a manatee in your dream," represents your passiveness in a situation. You are lacking ambition and drive. Alternatively, it represents someone in your life who is lazy, slow or gentle.",30,1
Mandala,To see a mandala in your dream," signifies that you will experience some positive changes in your waking life. It also symbolizes wholeness, unity, healing, inner peace, spirituality, and harmony.",30,1
Mane,To notice the mane of an animal in your dream," refers to some animalistic desire. Also consider the significance of the animal itself. Alternatively, the dream may be a pun on ""main"". Perhaps it is directing you to Main Street or that you need to be more mainstream. Or it may signify the state of Maine.",45,1
Mango,To see or eat a mango in your dream," symbolizes fertility, sexual desires, and lust. Alternatively, the mango may also be a pun to mean ""man go"" in reference to a relationship in which you should let go and move on.",35,1
Manhole Cover,To see a manhole cover in your dream, means that your unconscious thoughts are being suppressed. You are preventing certain negative emotions from surfacing.,36,1
Maniac,To dream that you are a maniac, indicates that you need to control your temper and not let your emotions get the best of you. You need to show more restraint and composure in some situation.,30,1
Manicure,To dream that you are getting a manicure, represents glamour and beauty. You are seeking attention for the work you have done. You may also be expressing something beautiful and positive through your work.,40,1
Manna,To see or eat manna in you dream, suggests that you need some spiritual nourishment.,32,1
Mannequin,To see a mannequin in your dream," represents an extension of your own self that you are projecting. You may feel that you are not playing an active enough role in some situation. Consider how the mannequin is dressed for clues as to what you may wish to act out, but have not done so.",32,1
Manners,To dream that you have good manners, indicates restraint. You need to model this behavior in your waking life.,35,2
Manners,To dream that you have bad manners, symbolizes your lack of respect for someone or some matter in your waking life.,34,2
Mansion,To see a mansion in your dream, symbolizes your greatest potential and growth. You may feel that your current situation or relationship is in a rut.,30,2
Mansion,Dreaming of a mansion in the sky, signifies your lofty goals. The dream may also mean that you feel you are above everyone else to the point where you want to isolate yourself.,32,2
Manslaughter,#Ref:murder,#Ref:murder,11,1
Manta Ray,To see a manta ray in your dream, signifies emotional freedom. You are navigating through your emotions with ease.,32,2
Manta Ray,To dream that you or someone is attacked by a school of manta rays, indicates that emotions that have been suppressed into your subconscious are becoming too overwhelming to keep inside any longer.,66,2
Mantis,#Ref:prayingmantis,#Ref:prayingmantis,18,1
Mantilla,To see or wear a mantilla veil in your dream," represents an expression of your femininity. Alternatively, the dream suggests that there is something that you are hiding.",44,1
Mantle,To see a mantle in your dream," symbolizes warmth, family and togetherness. It represents the things and aspects of yourself that you share and display to others. Consider what is on the mantle and its significance.",29,1
Manure,To see manure in your dream," suggests that you are learning from past experiences. You are drawing from those experiences and putting it to use in your current situation. Alternatively, the dream may symbolize fertility.",27,1
Manuscript,To dream that you are writing a manuscript," represents your hopes, dreams, goals and desires. You may be harboring some fear that you are not able to accomplish your goals.",42,2
Manuscript,To dream that your manuscript is rejected by a publisher, refers to some temporary setbacks.,56,2
Map,To see or study a map in your dream," suggests that your current life path will lead to fulfillment of your needs and realization of your goals. It also indicates that you are set on the path to self knowledge and self discovery. If you have difficulties understanding or reading the map, then it means that you are feeling lost. You are literally still trying to find yourself and figure out where you want to go in life.",35,1
Maple,To see a maple in your dream," symbolizes humility, warmth, and openness. It also indicates positive gains, happiness and fullness of life.",28,3
Maple,To see a falling maple tree in your dream, indicates family disharmony and broken ties.,41,3
Maple,To see a maple leaf in your dream, represents each of the five senses and what it has to offer. Perhaps you need to perk up one of your five senses. It also symbolizes a helping or protective hand.,33,3
Marathon,To dream that you are running in a marathon, represents life's journey and how you are performing or feeling. It is symbolic of your endurance and willpower. Consider how you feel about the marathon and how you are approaching it.,43,1
Marble,To see or play with marbles in your dream," symbolize your perceptiveness, insightfulness and observation. If you are polishing a marble, then it represents your enduring efforts and perseverance.",41,2
Marble,To see something made of marble in your dream," refers to your solid stance on an argument. Alternatively, maybe represents opulence and luxury.",45,2
March,To dream of the month of March," signifies disappointments. It also heralds the coming of spring and thus indicates new beginnings. The dream may also be a metaphor to ""march"" on, especially during difficult times.",30,1
Marching,To dream that you are marching to the beat of music," signifies teamwork, conformity, and structure. Perhaps the dream serves as a calling as a soldier or as a public officer.",51,2
Marching,To see people marching in your dream, denotes your desires in wanting to associate with people in public positions.,36,2
Marching Band,To see or be in a marching band, indicates that you are a team player and able to work in harmony for a common cause. You show great discipline.,31,1
Mardi Gras,To dream of Mardi Gras, indicates your need to release your inhibitions and let yourself go.,22,1
Mare,To see a mare in your dream," represents your intuition. Alternatively, it signifies sexual fulfillment. If the mare is white, then it symbolizes spirit and creativity.",27,1
Mariachi,To see a Mariachi band in your dream, represents the Mexican culture and tradition. Perhaps it reflects an aspect of your own heritage.,36,2
Mariachi,"If you dream that you are singing in a Mariachi, ",then it means that you are communicating a passionate message.,49,2
Marigold,To see marigolds in your dream, denote health and longevity.,30,1
Marijuana,To dream that you are using marijuana," implies that you are trying to escape reality. Perhaps you are trying to numb some emotional or psychological pain. If someone else is using marijuana or trying to get your to use it, then it indicates a negative influence in your life. You are on the verge of losing control. Perhaps you feel that your identity and sense of self is being compromised or disrespected.",37,2
Marijuana,To see or smell marijuana in your dream, suggests that you are experiencing an expanded sense of awareness and consciousness. You need to take advantage and draw insight from this new consciousness. The dream may also mean that you need to look on your inner strength for stimulation instead of relying on outside forces.,39,2
Marilyn Monroe,To see Marilyn Monroe in your dream," indicates that you need to be more open and expressive with your sexuality. In particular, if you are wearing Marilyn Monroe's clothes, then it means that you need to be more in touch with your femininity.",35,1
Marina,To dream that you are in a marina, means emotional stability and calmness. You are finally at peace in a relationship that had been strained or giving you stress.,33,1
Mariner,To dream that you are a mariner, signifies a long and pleasant journey.,31,1
Marionette,To see a marionette in your dream, suggests that you are allowing others to control you. You are easily swayed by others and have difficulties standing up for yourself.,33,1
Markers,To see or use markers in you dream," represent your creativity. Perhaps you need to introduce some liveliness in your life. Consider the significance of the marker color. Alternatively, the dream may be telling you that there is something you need to ""mark"" down or remember.",34,1
Market,To dream that you are in a market," represents some emotional or physical need that you are currently lacking in your life. You may be in need of nurturance and some fulfillment. Consider the specific items that you are shopping for. Alternatively, the market signifies frugality.",33,2
Market,To see an barren market in your dream," signifies depression and gloominess. There is a void in your life. If the market is large or well-stocked, then it means possibilities and choices.",37,2
Marlin,To see or catch a marlin in your dream," means that you need to be more decisive and forge forward with your plans. Alternatively, seeing a marlin in your dream suggests that you need to be more direct about your feelings.",38,1
Marmalade,To make or eat marmalade in your dream, indicates that you need to incorporate some zest in your life,38,1
Marmot,To see a marmot in your dream, suggests deceit and falsehood. You are being mislead in some aspect of your relationship.,29,1
Marriage,To dream of a marriage," signifies commitment, harmony or transitions. You are undergoing an important developmental phase in your life. The dream may also represent the unification of formerly separate or opposite aspects of yourself. In particular, it is the union of masculine or feminine aspects of yourself. Consider the qualities and characteristics of the person that you are marrying. These are the qualities that you need to look at incorporating within yourself.",22,5
Marriage,To dream of a proposal of marriage, suggests that some situation will take a turn for the worse.,34,5
Marriage,"To dream that you are getting married to your ex,"," suggests that you have accepted aspects of that relationship and learned from those past mistakes. Alternatively, it means that a current relationship shares some commonality with your previous relationship with your ex. However, since you are aware of the similarities, you know not make those same mistakes.",49,5
Marriage,To dream that you are in an arranged marriage, suggests that you are feeling forced to do something you do not want to do. You feel that you have no voice or no choice in a situation. Consider how a waking situation may be making you feel voiceless.,45,5
Marriage,To dream that you marry someone in order save their soul, refers to the sacrifices you are making in that situation or relationship. You always play the role of the protector in the relationship and try to shield others from being hurt.,56,5
Mars,To see Mars in your dream," symbolizes energy, drive, passion, fearlessness and ambition. It also represents war, violence and masculine power.",25,1
Marsh,To see or dream that you are at a marsh," suggests instability in your emotional realm. You are feeling bogged down, insecure or unsure about the future or how to go about with achieving your goals.",39,2
Marsh,To dream that a marsh is being drained," indicates that you are feeling weary and emotionally drained. Alternatively, you feel lost.",38,2
Marshmallows,To see or eat marshmallows in your dream, represent timidity and lack of self-confidence. You need to learn to be more assertive and stand up for yourself.,40,2
Marshmallows,To dream that you are roasting marshmallows, indicate growth and motivation.,43,2
Marsupial,To see marsupials in your dream," signify the importance of a maternal bond and connection. Perhaps it is a reminder for you to reconnect with your mother. Alternatively, dreaming of marsupials represents warmth and your need for a better sense of security. You want to feel protected.",31,1
Martial Arts,To dream that you are practicing martial arts, suggest that you need to better focus your energies and direct them on your goals.,45,1
Martyr,To dream that you are a martyr, forewarns that you are focusing too much attention on the needs of others at the risk of neglecting your own needs. The dream also indicates a lack of self-love. You are unable to forgive yourself for some past sin or decision.,30,1
Mascara,To dream that you are wearing mascara, suggests that you need to open your eyes and be more attentive to a situation or relationship.,37,2
Mascara,To dream that your mascara is smeared, indicates that your reputation is being called into question by rumors.,37,2
Mascot,To see a mascot in your dream," refers to an aspect of your personality that you want to work. If the mascot is a bird, then it implies that you desire to be more open minded and/or free. If the mascot is a dog, then you want to work on your social skills.",29,2
Mascot,To dream that you are dressed as a mascot, means that you are hiding behind some persona. You are afraid to be your true self.,41,2
Mask,To dream that you are wearing a mask," suggests that you are trying to be someone you are not. You are trying to hide your true feelings and only reveal half truths. If you have trouble taking off your mask, then it suggests that your true self is lost or blurred. Alternatively, wearing a mask signifies temporary trouble due to some misunderstanding of your action and conduct.",36,2
Mask,To see someone wearing a mask in your dream," denotes that you are struggling against deceit, falsehood, and jealousy. If someone removes their mask, then it symbolizes failure in gaining the admiration and/or respect of someone sought for.",43,2
Masochism,To dream about masochism," suggests your need to experience and feel things at an extreme level. Alternatively, the dream indicates that you are sacrificing yourself. You feel that you have to suffer for your past mistakes.",24,1
Mason,To dream that you are a mason, signifies a rise in your current circumstances. You will experience a more satisfying social surrounding.,29,1
Masquerade,To dream that you are at a masquerade ball, suggests that you are trying to escape from the demands of real life. You may be overindulging in sinful or foolish pursuits. It is time to acknowledge your responsibilities.,42,1
Mass,To dream that you are at mass, represents your sense of community. You approach life with the consideration of those around you in mind.,29,1
Massacre,To witness a massacre in your dream, suggests that you are a follower. You tend to go along with the ideas of others without question and hesitation.,35,1
Massage,To dream that you are getting a massage," suggests that you are lacking sensual or sexual stimulation in your waking life. You need to be more in touch with your sensuality. Perhaps you need to take better care of your body. The dream also represents nurturance ease and comfort. Alternatively, getting a massage suggests that you need to let go and stop being so defensive.",39,2
Massage,To dream that you are giving a massage to someone, means that you are trying to persuade someone toward your side or your point of view.,49,2
Mast,To see the mast of a ship in your dream," signifies a long and pleasant journey. Alternatively, it represents hope and salvation. If the mast is from a wrecked ship, then it denotes sudden changes in a situation.",39,1
Mastectomy,To dream that you have a mastectomy," indicates your lack of sensitivity. You are feeling disconnected from those around you. From a positive perspective, this dream signifies your independence and autonomy. If you have been diagnosed with breast cancer, then this dream represents fear and worry. You feel you are loosing your femininity.",35,1
Master,To dream that you have a master, denotes feelings of inadequacy and a lack of discipline in your life. You need a strong-willed leader to guide you.,31,2
Master,To dream that you are a master," suggests that there is some situation or problem that you need to ""master"" and get a handle on. Alternatively, it means you need to take on a leadership role.",30,2
Masturbation,To dream that you are masturbating," represents your unacknowledged and unexpressed sexual needs/desires. It may also indicate you need to take care of yourself in sensual or emotional ways which are not necessarily sexual. Or perhaps, you may need to put forth a little more effort toward some relationship.",34,2
Masturbation,To see someone masturbating in your dreams," denotes your anxieties and concerns about your own inhibitions. Perhaps something in your waking life is not as satisfying as it could be. Keep in mind that this dream may not necessarily represent sexual inhibitions or satisfaction, but may be analogous to some situation or relationship.",42,2
Mat,To see a mat in your dream," suggests that you feel others are walking all over you. You feel being taken advantage of. Alternatively, the dream may be a pun on someone who is named Matt in your life.",26,1
Matador,To see or dream that you are a matador, suggests that you need to challenge yourself and prepare for the obstacles ahead. Work on your bravery.,38,1
Matches,To see or strike a match in your dream, suggests that there is something that you need to ignite and rekindle in your life. The dream maybe a pun on something or someone who is your match.,38,1
Matchmaker,To see or use a matchmaker in your dream," indicates your openness to new experiences. More directly, the dream is about your love life and the pressure to find someone to spend your life with.",40,2
Matchmaker,To dream that you are a matchmaker, suggests that you need to stop meddling in other people's personal lives.,34,2
Mathematics,To dream about mathematics, indicate that you are evaluating a situation in your waking life where you need to be more rational in your thinking. Try not to act on your emotions.,26,2
Mathematics,To dream that you are unable to solve a mathematical problem or equation, parallels a waking problem where you may be confused about. The dream may offer a hint toward a new approach to this waking problem. Something does not add up in your life.,72,2
Matryoshka Doll,To see a Matryoshka Doll in your dream," refers to the many inner components of your persona. There are many layers to your personality that you need to get through in order to unveil what is truly underneath. Perhaps you feel that no one knows the real you or that no one has taken the time to discover all the different sides of you. Alternatively, the dream may be a metaphor for some revelation.",38,1
Mattress,To see a mattress in your dream," represents your support system. Alternatively, the dream means that you have new responsibilities and duties that will require your time and attention.",31,2
Mattress,To dream that you are sleeping on a new mattress, refers to your present stage of life.,48,2
Mausoleum,To see or dream that you are in a mausoleum, represents calmness. You are finally at peace about something.,43,1
Maxi Pad,To see a maxi pad in your dream," indicates that you need to release some pent up anger or tension. It may also mean that some creative energy is being released or recognized. If you see Always Maxi Pads in your dream, then the dream may be telling you ""always"" is the answer to some question or comment.",31,1
May,To dream of the month of May," signifies prosperity and times of pleasure. The dream may also be a metaphor for ""may I?"" Perhaps you are seeking permission for something.",28,1
Mayor,To see a mayor in your dream," indicates your need for guidance, especially from a higher source.",28,1
Mayonnaise,To see or eat mayonnaise in your dream, represents disappointment in your waking life. It also suggests that you are being insulted or disrespected.,38,1
Maypole Dance,To see or participate in a maypole dance," indicates that you are celebrating an end to your old ways and welcoming in a new beginning. Alternatively, it signifies male sexuality and fertility. The dream could indicate your easy going attitude toward sex.",40,1
Maze,To dream that you are in a maze," denotes that you need to deal with a waking task on a more direct level. You are making the situation harder than it really is. Alternatively, the maze symbolizes life's twists and turns. It represents indecision, confusion, missteps, feeling lost or being misled.",31,1
McDonalds,To see or dream that you are at McDonalds," signifies happiness and a worry-free attitude. The dream also suggests that you are living large. Perhaps the dream is telling you to expand your thinking or horizons. Supersize it! Alternatively, if you do not like McDonalds, then the dream may be indicative of something in your life that is unhealthy. More directly, the dream may just mean you are hungry.",41,1
Meadow,To see a meadow in your dream, represents openness and security. You are taking time out to appreciate your accomplishments.,29,1
Meadowlark,To see meadowlark in your dream, indicates your cheerful disposition and outlook on life. You make the best out of every situation.,31,1
Meals,To see meals in your dream," suggest that you are dwelling too much on trivial matters, causing your attention to be diverted from important issues. Alternatively, you may be lacking spiritual enrichment and sensual expression.",26,1
Mealworms,To see mealworms in your dream, indicates that you are hungering for a new experience.,30,1
Mean,To dream that someone is being," mean to you suggests that you are being too hard on yourself. You need to give yourself a break. Alternatively, the dream may be a metaphor that you are looking for ""meaning"" or significance to some life issue.",30,2
Mean,To dream that you are uncharacteristically, mean to someone represents some negative feelings that you are not expressing in your waking life. Instead they are manifesting in your dream where you are more comfortable in expressing how you really feel. Dreams provide a safe outlet.,42,2
Measles,To dream that you have measles, indicate that your problems and worrying are affecting your educational or professional pursuits.,30,2
Measles,To see others with measles in your dream, denotes that the problems of others are becoming your own problems. It is giving you much stress and worry.,40,2
Measurement,To see or dream about your measurements, indicate that you are setting standards for yourself or of what you think others expect of you. How are you measuring up? Perhaps you need to stop comparing yourself to others.,39,1
Measuring Tape,To see or use a measuring tape in your dream," suggests that you are comparing yourself to others. The dream may be a metaphor on how you ""measure up"" to others. Or you are taking certain measures in order to accomplish something. Perhaps you are experiencing some self-doubt or that you are not good enough.",44,1
Meat,To see raw meat in your dream," represents obstacles and discouragements that you will come across as you move toward achieving your goals. Alternatively, it may reflect your untamed, animalistic nature and raw emotions.",29,4
Meat,To eat or cook meat in your dream," suggests that you are getting to the heart of the matter. You are recognizing and utilizing your instinctual energies. Alternatively, you are seeing others achieve what you are still striving for.",33,4
Meat,To see rotten meat in your dream, refers to a degradation of your physical and psychological being. The dream may be a metaphor for some health problems.,32,4
Meat,"If eating horsemeat is not accepted in your culture, ","then the dream refers to a situation where you do not want to know details about. If you enjoy eating horsemeat, then it implies that you are open to difference experiences. If eating horsemeat is culturally accepted for you, then the dream has the same significance as eating meat.",53,4
Meatballs,To make meatballs in your dream, indicate that a new idea is forming or a new project is taking shape.,31,2
Meatballs,To see or eat meatballs in your dream," represent familiarity, ease, and comfort. Alternatively, the dream may be a pun on an awkward, dull or socially inept person.",37,2
Mechanic,To see a mechanic in your dream, suggests that you need to work on healing your past hurts and trauma.,31,1
Mechanical Bull,To see or ride a mechanical bull in your dream is, analogous to your sex life. Perhaps it has become routine or devoid of emotion and passion.,49,1
Medal,To see a medal in your dream, signifies a reward or an acknowledgement of your hard work. You are being recognized for your abilities and talents.,28,1
Media,#Ref:press,#Ref:press,10,1
Medicine,To dream that you are taking medicine, represents a period of emotional and/or spiritual healing. It also indicates that the troubles you are experiencing are only temporary. Things will work out in the long run.,37,2
Medicine,To dream that you are giving medicine to someone," indicates that you are trying to take advantage of a situation or of someone. If you are given the wrong medication, then you are being manipulated. Someone is trying to take advantage of you.",48,2
Medicine Cabinet,To see your medicine cabinet in your dream, represents a period of healing.,42,2
Medicine Cabinet,To dream that the medicine cabinet is empty," suggests concerns over your well-being. You are neglecting your emotional, mental and/or spiritual health.",43,2
Medicine Man,To see a traditional medicine man in your dream, refers to your strong support system. You have friends and family who will help you to achieve to highest goals.,47,1
Medieval,To dream of Medieval times," represents old habits/attitudes and old ways of thinking. It is important to analyze the activities that occur in the dream, so that you can figure out what aspect of yourself or your life needs updating. For example, jousting refers to your need to spice up your sex life.",26,1
Meditate,To dream that you are meditating, represents self-acceptance and enlightenment. It also suggests that you need to be less judgmental on others and not be so hard on yourself.,32,1
Medium,To dream that you are a medium," indicates that you are getting in touch with your intuitive side. You are more sensitive to your instincts and in how your perceive things. It also suggests increased knowledge of your subconscious. Alternatively, the dream may mean that you are standing in middle ground. You are non-committal about a situation. Perhaps you are being too indecisive.",30,1
